system:time_start,meanGNDVI
24-Jan-21,0.018
23-Feb-21,0.495
30-Mar-21,0.717
4-Apr-21,0.771
24-Apr-21,0.797
29-May-21,0.789
13-Jun-21,0.606
18-Jun-21,0.701
18-Jul-21,0.749
23-Jul-21,0.508
12-Aug-21,0.745
1-Sep-21,0.812
6-Sep-21,0.563
1-Oct-21,0.785
16-Oct-21,0.799
21-Oct-21,0.525
31-Oct-21,
14-Jan-22,0.627
8-Feb-22,0.671
13-Feb-22,0.65
28-Feb-22,0.666
5-Mar-22,0.661
10-Mar-22,0.634
20-Mar-22,0.639
25-Mar-22,0.661
14-Apr-22,0.765
13-Jun-22,0.78
18-Jun-22,0.766
23-Jun-22,0.757
3-Jul-22,0.589
8-Jul-22,0.705
13-Jul-22,0.758
18-Jul-22,0.762
2-Aug-22,0.754
12-Aug-22,0.586
22-Aug-22,0.623
21-Sep-22,0.671
6-Oct-22,0.622
26-Oct-22,0.549
10-Nov-22,0.587
13-Feb-23,-0.004
15-Mar-23,0.673
4-Apr-23,0.729
9-Apr-23,0.714
29-May-23,0.824
3-Jun-23,0.804
13-Jun-23,0.759
28-Jun-23,0.521
22-Aug-23,0.375
6-Sep-23,0.558
11-Sep-23,0.565
