date,meanMCARI
24-Jan-21,-0.012
23-Feb-21,0.058
30-Mar-21,0.136
4-Apr-21,0.167
24-Apr-21,0.231
29-May-21,0.362
13-Jun-21,0.128
18-Jun-21,0.184
18-Jul-21,0.378
23-Jul-21,0.076
12-Aug-21,0.305
1-Sep-21,0.312
6-Sep-21,0.081
1-Oct-21,0.316
16-Oct-21,0.297
21-Oct-21,0.19
31-Oct-21,
14-Jan-22,0.056
8-Feb-22,0.058
13-Feb-22,0.067
28-Feb-22,0.071
5-Mar-22,0.073
10-Mar-22,0.06
20-Mar-22,0.064
25-Mar-22,0.073
14-Apr-22,0.213
13-Jun-22,0.319
18-Jun-22,0.188
23-Jun-22,0.219
3-Jul-22,0.12
8-Jul-22,0.182
13-Jul-22,0.203
18-Jul-22,0.174
2-Aug-22,0.126
12-Aug-22,0.073
22-Aug-22,0.089
21-Sep-22,0.137
6-Oct-22,0.186
26-Oct-22,0.064
10-Nov-22,0.088
13-Feb-23,0.012
15-Mar-23,0.072
4-Apr-23,0.076
9-Apr-23,0.101
29-May-23,0.126
3-Jun-23,0.093
13-Jun-23,0.098
28-Jun-23,0.053
22-Aug-23,0.017
6-Sep-23,0.049
11-Sep-23,0.056
