"date","dry-tara","%N corr.","mean_Nuptake"
2020-10-19,5.15,3.67240846,1.8802290317035
2021-05-26,66.535,1.6818965275,11.067523902937
2021-07-20,54.0575,1.94908067825,10.562125598469
2021-09-02,33.6175,2.50871753325,8.4948927472025
2021-10-19,25.6225,3.3030874555,8.64629841192925
2022-05-10,44.755,2.4456810195,10.8053168287345
2022-06-27,33.505,2.68580934225,9.13598212803075
2022-08-08,23.45,2.8714629175,6.72547388631425
2022-09-19,11.1225,3.601283443,4.02085287688425
2022-12-13,4.35166666666667,3.25232249566667,1.35231773575483
2023-02-07,3.98666666666667,3.33627182325,1.30888472326858
2023-03-17,6.56166666666667,4.06972321316667,2.65711329081583
2023-04-14,19.1483333333333,3.23882306408333,6.06427836262925
2023-05-19,79.3208333333333,1.66661376566667,13.2026081287084
