date,quadrant (Q),SPAD_averaged
3/17/2023,1,55.6
3/17/2023,1,56.9
3/17/2023,1,55.5
3/17/2023,2,56.6
3/17/2023,2,52.3
3/17/2023,2,52.1
3/17/2023,3,53.8
3/17/2023,3,54.2
3/17/2023,3,56
3/17/2023,4,60.8
3/17/2023,4,54.4
3/17/2023,4,54.9
4/14/2023,1,49.5
4/14/2023,1,45.3
4/14/2023,1,43
4/14/2023,2,46.5
4/14/2023,2,49.6
4/14/2023,2,43.5
4/14/2023,3,40.1
4/14/2023,3,45.1
4/14/2023,3,45
4/14/2023,4,46.1
4/14/2023,4,45.5
4/14/2023,4,45.2
6/28/2023,1,16.4
6/28/2023,1,17.9
6/28/2023,2,18.2
6/28/2023,2,19.3
6/28/2023,3,15.7
6/28/2023,3,18.9
6/28/2023,4,14.6
