"date","dry-tara","%N corr.","Nitrogen_uptake_gperm2","Nitrogen_uptake_kgperha"
2022-12-13,1.61,3.252868343,0.523711803223,5.23711803223
2022-12-13,3.35,3.574129984,1.19733354464,11.9733354464
2022-12-13,5.62,2.089833928,1.174486667536,11.74486667536
2022-12-13,7.66,2.134931906,1.635357839996,16.35357839996
2022-12-13,3.76,3.484328207,1.310107405832,13.10107405832
2022-12-13,4.23,3.481079518,1.472496636114,14.72496636114
2022-12-13,6.25,2.89287298,1.8080456125,18.080456125
2022-12-13,2.46,3.654423909,0.898988281614,8.98988281614
2022-12-13,2.52,4.021914688,1.013522501376,10.13522501376
2022-12-13,5.62,3.64654554,2.04935859348,20.4935859348
2022-12-13,6.19,3.391136785,2.099113669915,20.99113669915
2022-12-13,2.95,3.202639012,0.94477850854,9.4477850854
2023-02-07,5.69,3.158735547,1.797320526243,17.97320526243
2023-02-07,5.92,3.644889995,2.15777487704,21.5777487704
2023-02-07,4.05,3.357174161,1.359655535205,13.59655535205
2023-02-07,0.58,4.059601459,0.235456884622,2.35456884622
2023-02-07,3.8,3.398989772,1.29161611336,12.9161611336
2023-02-07,7.61,3.181582093,2.421183972773,24.21183972773
2023-02-07,1.58,3.159698193,0.499232314494,4.99232314494
2023-02-07,4.08,3.000424633,1.224173250264,12.24173250264
2023-02-07,2.78,3.529546896,0.981214037088,9.81214037088
2023-02-07,3.32,3.154848989,1.047409864348,10.47409864348
2023-02-07,4.77,3.17949038,1.51661691126,15.1661691126
2023-02-07,3.66,3.210279761,1.174962392526,11.74962392526
2023-03-17,7.72,4.55173521,3.51393958212,35.1393958212
2023-03-17,6.1,4.350513398,2.65381317278,26.5381317278
2023-03-17,6,4.298286252,2.5789717512,25.789717512
2023-03-17,4.67,3.916281309,1.828903371303,18.28903371303
2023-03-17,7.75,3.269253496,2.5336714594,25.336714594
2023-03-17,10.04,3.741670166,3.756636846664,37.56636846664
2023-03-17,7.32,4.370934776,3.199524256032,31.99524256032
2023-03-17,6.36,4.030773885,2.56357219086,25.6357219086
2023-03-17,5.04,4.473582645,2.25468565308,22.5468565308
2023-03-17,4.55,4.199586524,1.91081186842,19.1081186842
2023-03-17,7.51,4.123949445,3.097086033195,30.97086033195
2023-03-17,5.68,3.510111452,1.993743304736,19.93743304736
2023-04-14,17.3,3.654461763,6.32221884999,63.2221884999
2023-04-14,21.57,3.291522469,7.099813965633,70.99813965633
2023-04-14,26.37,3.02653975,7.98098532075,79.8098532075
2023-04-14,26.35,2.820272817,7.431418872795,74.31418872795
2023-04-14,30.79,3.210769396,9.885958970284,98.85958970284
2023-04-14,20.21,2.982672982,6.027982096622,60.27982096622
2023-04-14,18.79,2.644833582,4.969642300578,49.69642300578
2023-04-14,6.22,3.799002199,2.362979367778,23.62979367778
2023-04-14,25.65,3.253841959,8.346104624835,83.46104624835
2023-04-14,14.33,3.496597797,5.010624643101,50.10624643101
2023-04-14,8.39,3.503456935,2.939400368465,29.39400368465
2023-04-14,13.81,3.18190512,4.39421097072,43.9421097072
2023-05-19,60.44,NA,NA,NA
2023-05-19,110.13,NA,NA,NA
2023-05-19,76.11,NA,NA,NA
2023-05-19,96.16,NA,NA,NA
2023-05-19,72.16,NA,NA,NA
2023-05-19,72.04,NA,NA,NA
2023-05-19,113.64,NA,NA,NA
2023-05-19,70.59,NA,NA,NA
2023-05-19,103.29,NA,NA,NA
2023-05-19,73.13,NA,NA,NA
2023-05-19,51.78,NA,NA,NA
2023-05-19,52.38,NA,NA,NA
2023-06-19,97.48,NA,NA,NA
2023-06-19,105.82,NA,NA,NA
2023-06-19,102.46,NA,NA,NA
2023-06-19,197.27,NA,NA,NA
2023-06-19,125.81,NA,NA,NA
2023-06-19,103.21,NA,NA,NA
2023-06-19,177.04,NA,NA,NA
2023-06-19,161.71,NA,NA,NA
2023-06-19,129.92,NA,NA,NA
2023-06-19,131.45,NA,NA,NA
2023-06-19,158.35,NA,NA,NA
2023-06-19,147.8,NA,NA,NA
2023-06-28,196.31,NA,NA,NA
2023-06-28,139.15,NA,NA,NA
2023-06-28,201.79,NA,NA,NA
2023-06-28,160.84,NA,NA,NA
2023-06-28,170.3,NA,NA,NA
2023-06-28,147.12,NA,NA,NA
2023-06-28,120.82,NA,NA,NA
2023-06-28,200.31,NA,NA,NA
2023-06-28,169.04,NA,NA,NA
2023-06-28,157.53,NA,NA,NA
2023-06-28,184.38,NA,NA,NA
2023-06-28,173.53,NA,NA,NA
2023-07-11,129.95,NA,NA,NA
2023-07-11,187.23,NA,NA,NA
2023-07-11,130.45,NA,NA,NA
2023-07-11,280.9,NA,NA,NA
2023-07-11,124.84,NA,NA,NA
2023-07-11,168.87,NA,NA,NA
2023-07-11,132.71,NA,NA,NA
2023-07-11,166.13,NA,NA,NA
2023-07-11,175.64,NA,NA,NA
2023-07-11,117.91,NA,NA,NA
2023-07-11,150.23,NA,NA,NA
2023-07-11,125.82,NA,NA,NA
